,pH,Temperature,E.C.
"28/06/2025, 15:46",8.27,27.6,1.18
"28/06/2025, 15:26",8.27,27.6,1.18
"28/06/2025, 15:05",8.27,27.6,1.18
"28/06/2025, 14:45",8.27,27.6,1.18
"28/06/2025, 14:25",8.27,27.6,1.18
"28/06/2025, 14:05",8.27,27.6,1.18
"28/06/2025, 13:45",8.28,27.6,1.18
"28/06/2025, 13:25",8.28,27.6,1.18
"28/06/2025, 13:04",8.28,27.6,1.18
"28/06/2025, 12:44",8.28,27.6,1.18
"28/06/2025, 12:24",8.28,27.6,1.18
"28/06/2025, 12:04",8.28,27.6,1.18
"28/06/2025, 11:44",8.28,27.6,1.18
"28/06/2025, 11:24",8.28,27.6,1.18
"28/06/2025, 11:03",8.28,27.6,1.18
"28/06/2025, 10:43",8.28,27.6,1.18
"28/06/2025, 10:23",8.28,27.6,1.18
"28/06/2025, 10:03",8.28,27.6,1.18
"28/06/2025, 09:43",8.28,27.5,1.18
"28/06/2025, 09:23",8.28,27.5,1.18
"28/06/2025, 09:02",8.28,27.5,1.18
"28/06/2025, 08:42",8.28,27.5,1.18
"28/06/2025, 08:22",8.28,27.5,1.18
"28/06/2025, 08:02",8.28,27.5,1.18
"28/06/2025, 07:42",8.28,27.4,1.18
"28/06/2025, 07:22",8.28,27.4,1.18
"28/06/2025, 07:02",8.28,27.4,1.18
"28/06/2025, 06:41",8.28,27.4,1.18
"28/06/2025, 06:21",8.28,27.4,1.18
"28/06/2025, 06:01",8.28,27.3,1.18
"28/06/2025, 05:41",8.27,27.3,1.18
"28/06/2025, 05:21",8.27,27.3,1.18
"28/06/2025, 05:01",8.27,27.3,1.18
"28/06/2025, 04:40",8.27,27.3,1.18
"28/06/2025, 04:20",8.27,27.3,1.18
"28/06/2025, 04:00",8.27,27.3,1.18
"28/06/2025, 03:40",8.27,27.3,1.18
"28/06/2025, 03:20",8.27,27.3,1.18
"28/06/2025, 03:00",8.26,27.3,1.18
"28/06/2025, 02:39",8.26,27.3,1.18
"28/06/2025, 02:19",8.26,27.2,1.18
"28/06/2025, 01:59",8.25,27.2,1.18
"28/06/2025, 01:39",8.25,27.2,1.18
"28/06/2025, 01:19",8.25,27.2,1.18
"28/06/2025, 00:59",8.25,27.2,1.18
"28/06/2025, 00:38",8.25,27.2,1.18
"28/06/2025, 00:18",8.25,27.2,1.18
"27/06/2025, 23:58",8.25,27.2,1.18
"27/06/2025, 23:38",8.25,27.2,1.18
"27/06/2025, 23:18",8.25,27.2,1.18
"27/06/2025, 22:58",8.26,27.2,1.18
"27/06/2025, 22:38",8.26,27.2,1.18
"27/06/2025, 22:17",8.26,27.3,1.18
"27/06/2025, 21:57",8.26,27.3,1.18
"27/06/2025, 21:37",8.26,27.3,1.18
"27/06/2025, 21:17",8.26,27.3,1.18
"27/06/2025, 20:57",8.26,27.3,1.18
"27/06/2025, 20:37",8.26,27.3,1.18
"27/06/2025, 20:16",8.26,27.4,1.18
"27/06/2025, 19:56",8.26,27.4,1.18
"27/06/2025, 19:36",8.26,27.4,1.18
"27/06/2025, 19:16",8.26,27.4,1.18
"27/06/2025, 18:56",8.26,27.5,1.18
"27/06/2025, 18:36",8.26,27.5,1.18
"27/06/2025, 18:15",8.26,27.5,1.18
"27/06/2025, 17:55",8.26,27.5,1.18
"27/06/2025, 17:35",8.26,27.6,1.18
"27/06/2025, 17:15",8.26,27.6,1.18
"27/06/2025, 16:55",8.26,27.6,1.18
"27/06/2025, 16:35",8.26,27.6,1.18
"27/06/2025, 16:14",8.26,27.6,1.18
"27/06/2025, 15:54",8.26,27.6,1.18
"27/06/2025, 15:34",8.26,27.6,1.17
"27/06/2025, 15:14",8.26,27.6,1.17
"27/06/2025, 14:54",8.26,27.6,1.17
"27/06/2025, 14:34",8.26,27.6,1.17
"27/06/2025, 14:14",8.26,27.6,1.17
"27/06/2025, 13:53",8.26,27.6,1.17
"27/06/2025, 13:33",8.26,27.6,1.17
"27/06/2025, 13:13",8.26,27.6,1.17
"27/06/2025, 12:53",8.26,27.6,1.17
"27/06/2025, 12:33",8.26,27.6,1.17
"27/06/2025, 12:13",8.27,27.6,1.17
"27/06/2025, 11:52",8.26,27.6,1.17
"27/06/2025, 11:32",8.26,27.6,1.17
"27/06/2025, 11:12",8.27,27.6,1.17
"27/06/2025, 10:52",8.27,27.6,1.17
"27/06/2025, 10:32",8.27,27.6,1.17
"27/06/2025, 10:12",8.27,27.6,1.17
"27/06/2025, 09:51",8.27,27.6,1.17
"27/06/2025, 09:31",8.27,27.6,1.17
"27/06/2025, 09:11",8.27,27.6,1.17
"27/06/2025, 08:51",8.27,27.5,1.17
"27/06/2025, 08:31",8.27,27.5,1.17
"27/06/2025, 08:11",8.27,27.5,1.17
"27/06/2025, 07:50",8.27,27.5,1.17
"27/06/2025, 07:30",8.27,27.5,1.17
"27/06/2025, 07:10",8.27,27.5,1.17
"27/06/2025, 06:50",8.27,27.5,1.17
"27/06/2025, 06:30",8.27,27.5,1.17
"27/06/2025, 06:10",8.27,27.4,1.17
"27/06/2025, 05:50",8.27,27.4,1.17
"27/06/2025, 05:29",8.27,27.4,1.17
"27/06/2025, 05:09",8.27,27.4,1.17
"27/06/2025, 04:49",8.27,27.3,1.17
"27/06/2025, 04:29",8.26,27.3,1.17
"27/06/2025, 04:09",8.26,27.3,1.17
"27/06/2025, 03:49",8.26,27.3,1.17
"27/06/2025, 03:28",8.26,27.3,1.17
"27/06/2025, 03:08",8.26,27.3,1.17
"27/06/2025, 02:48",8.25,27.3,1.17
"27/06/2025, 02:28",8.25,27.3,1.17
"27/06/2025, 02:08",8.25,27.3,1.17
"27/06/2025, 01:48",8.25,27.3,1.17
"27/06/2025, 01:27",8.25,27.3,1.17
"27/06/2025, 01:07",8.26,27.3,1.17
"27/06/2025, 00:47",8.26,27.3,1.17
"27/06/2025, 00:27",8.26,27.3,1.17
"27/06/2025, 00:07",8.26,27.3,1.17
"26/06/2025, 23:47",8.26,27.3,1.17
"26/06/2025, 23:26",8.26,27.4,1.17
"26/06/2025, 23:06",8.26,27.4,1.17
"26/06/2025, 22:46",8.26,27.4,1.17
"26/06/2025, 22:26",8.26,27.4,1.17
"26/06/2025, 22:06",8.26,27.4,1.17
"26/06/2025, 21:46",8.26,27.4,1.17
"26/06/2025, 21:26",8.26,27.4,1.17
"26/06/2025, 21:05",8.26,27.5,1.17
"26/06/2025, 20:45",8.26,27.5,1.17
"26/06/2025, 20:25",8.26,27.5,1.17
"26/06/2025, 20:05",8.26,27.5,1.17
"26/06/2025, 19:45",8.26,27.6,1.17
"26/06/2025, 19:25",8.26,27.6,1.17
"26/06/2025, 19:04",8.25,27.6,1.17
"26/06/2025, 18:44",8.25,27.7,1.17
"26/06/2025, 18:24",8.24,27.7,1.17
"26/06/2025, 18:04",8.24,27.7,1.17
"26/06/2025, 17:44",8.24,27.7,1.17
"26/06/2025, 17:24",8.24,27.7,1.17
"26/06/2025, 17:03",8.24,27.7,1.17
"26/06/2025, 16:43",8.25,27.7,1.17
"26/06/2025, 16:23",8.25,27.7,1.17
"26/06/2025, 16:03",8.25,27.7,1.17
"26/06/2025, 15:43",8.25,27.7,1.17
"26/06/2025, 15:23",8.25,27.7,1.17
"26/06/2025, 15:02",8.25,27.7,1.17
"26/06/2025, 14:42",8.25,27.8,1.17
"26/06/2025, 14:22",8.25,27.8,1.17
"26/06/2025, 14:02",8.25,27.8,1.17
"26/06/2025, 13:42",8.25,27.8,1.17
"26/06/2025, 13:22",8.25,27.8,1.17
"26/06/2025, 13:02",8.26,27.8,1.16
"26/06/2025, 12:41",8.26,27.8,1.16
"26/06/2025, 12:21",8.26,27.8,1.16
"26/06/2025, 12:01",8.26,27.9,1.16
"26/06/2025, 11:41",8.26,27.9,1.16
"26/06/2025, 11:21",8.26,27.9,1.16
"26/06/2025, 11:01",8.26,27.9,1.16
"26/06/2025, 10:40",8.26,27.9,1.16
"26/06/2025, 10:20",8.26,28,1.16
"26/06/2025, 10:00",8.27,28,1.16
"26/06/2025, 09:40",8.27,28,1.16
"26/06/2025, 09:20",8.27,28,1.16
"26/06/2025, 09:00",8.27,28,1.16
"26/06/2025, 08:39",8.27,27.9,1.16
"26/06/2025, 08:19",8.27,27.9,1.16
"26/06/2025, 07:59",8.27,27.9,1.16
"26/06/2025, 07:39",8.27,27.9,1.16
"26/06/2025, 07:19",8.27,27.9,1.16
"26/06/2025, 06:59",8.27,27.8,1.16
"26/06/2025, 06:38",8.27,27.8,1.16
"26/06/2025, 06:18",8.27,27.8,1.16
"26/06/2025, 05:58",8.27,27.8,1.16
"26/06/2025, 05:38",8.27,27.8,1.16
"26/06/2025, 05:18",8.27,27.8,1.16
"26/06/2025, 04:58",8.27,27.8,1.16
"26/06/2025, 04:38",8.27,27.8,1.16
"26/06/2025, 04:17",8.27,27.8,1.16
"26/06/2025, 03:57",8.27,27.8,1.16
"26/06/2025, 03:37",8.27,27.8,1.16
"26/06/2025, 03:17",8.27,27.8,1.16
"26/06/2025, 02:57",8.27,27.8,1.16
"26/06/2025, 02:37",8.27,27.8,1.16
"26/06/2025, 02:16",8.27,27.8,1.16
"26/06/2025, 01:56",8.27,27.8,1.16
"26/06/2025, 01:36",8.27,27.8,1.16
"26/06/2025, 01:16",8.27,27.9,1.16
"26/06/2025, 00:56",8.27,27.9,1.16
"26/06/2025, 00:36",8.27,27.9,1.16
"26/06/2025, 00:15",8.27,27.9,1.16
"25/06/2025, 23:55",8.27,27.9,1.16
"25/06/2025, 23:35",8.27,27.9,1.16
"25/06/2025, 23:15",8.27,27.9,1.16
"25/06/2025, 22:55",8.27,27.9,1.16
"25/06/2025, 22:35",8.27,27.9,1.16
"25/06/2025, 22:14",8.27,27.9,1.16
"25/06/2025, 21:54",8.28,27.9,1.16
"25/06/2025, 21:34",8.28,27.9,1.16
"25/06/2025, 21:14",8.28,27.9,1.16
"25/06/2025, 20:54",8.28,27.9,1.16
"25/06/2025, 20:34",8.28,27.9,1.16
"25/06/2025, 20:14",8.28,27.9,1.16
"25/06/2025, 19:53",8.28,28,1.16
"25/06/2025, 19:33",8.28,28,1.16
"25/06/2025, 19:13",8.28,28,1.16
"25/06/2025, 18:53",8.27,28,1.16
"25/06/2025, 18:33",8.27,28,1.16
"25/06/2025, 18:13",8.27,28,1.16
"25/06/2025, 17:52",8.27,28,1.16
"25/06/2025, 17:32",8.27,28,1.16
"25/06/2025, 17:12",8.27,28,1.16
"25/06/2025, 16:52",8.27,28,1.16
"25/06/2025, 16:32",8.27,28,1.16
"25/06/2025, 16:12",8.27,28,1.16
"25/06/2025, 15:51",8.27,28,1.16
"25/06/2025, 15:31",8.27,28,1.16
"25/06/2025, 15:11",8.27,28,1.16
"25/06/2025, 14:51",8.27,28,1.16
"25/06/2025, 14:31",8.27,28,1.16
"25/06/2025, 14:11",8.27,28,1.16
"25/06/2025, 13:50",8.27,28,1.16
"25/06/2025, 13:30",8.27,28,1.16
"25/06/2025, 13:10",8.27,28,1.16
"25/06/2025, 12:50",8.26,28,1.16
"25/06/2025, 12:30",8.26,28,1.16
"25/06/2025, 12:10",8.27,28,1.16
"25/06/2025, 11:50",8.27,28,1.16
"25/06/2025, 11:29",8.27,28,1.16
"25/06/2025, 11:09",8.26,28,1.16
"25/06/2025, 10:49",8.26,28,1.16
"25/06/2025, 10:29",8.26,28.1,1.16
"25/06/2025, 10:09",8.26,28.1,1.16
"25/06/2025, 09:49",8.26,28.1,1.16
"25/06/2025, 09:28",8.27,28.1,1.15
"25/06/2025, 09:08",8.27,28.1,1.15
"25/06/2025, 08:48",8.27,28.1,1.15
"25/06/2025, 08:28",8.27,28.1,1.15
"25/06/2025, 08:08",8.27,28.1,1.15
"25/06/2025, 07:48",8.27,28.1,1.15
"25/06/2025, 07:27",8.26,28.1,1.15
"25/06/2025, 07:07",8.26,28.1,1.15
"25/06/2025, 06:47",8.26,28,1.15
"25/06/2025, 06:27",8.26,28,1.15
"25/06/2025, 06:07",8.26,28,1.15
"25/06/2025, 05:47",8.26,28,1.15
"25/06/2025, 05:26",8.26,28,1.15
"25/06/2025, 05:06",8.26,28,1.15
"25/06/2025, 04:46",8.26,28,1.15
"25/06/2025, 04:26",8.25,28,1.15
"25/06/2025, 04:06",8.26,27.9,1.15
"25/06/2025, 03:46",8.26,27.9,1.15
"25/06/2025, 03:26",8.25,27.9,1.15
"25/06/2025, 03:05",8.25,28,1.15
"25/06/2025, 02:45",8.25,28,1.15
"25/06/2025, 02:25",8.25,28,1.15
"25/06/2025, 02:05",8.25,28,1.15
"25/06/2025, 01:45",8.25,28,1.15
"25/06/2025, 01:25",8.25,28,1.15
"25/06/2025, 01:04",8.25,28,1.15
"25/06/2025, 00:44",8.25,28,1.15
"25/06/2025, 00:24",8.25,28,1.15
"25/06/2025, 00:04",8.25,28,1.15
