,Temperature
"12/07/2025, 14:45",27.7
"12/07/2025, 14:25",27.7
"12/07/2025, 14:05",27.6
"12/07/2025, 13:45",27.6
"12/07/2025, 13:25",27.6
"12/07/2025, 13:05",27.5
"12/07/2025, 12:45",27.5
"12/07/2025, 12:24",27.5
"12/07/2025, 12:04",27.4
"12/07/2025, 11:44",27.4
"12/07/2025, 11:24",27.3
"12/07/2025, 11:04",27.3
"12/07/2025, 10:44",27.3
"12/07/2025, 10:23",27.3
"12/07/2025, 10:03",27.3
"12/07/2025, 09:43",27.3
"12/07/2025, 09:23",27.3
"12/07/2025, 09:03",27.3
"12/07/2025, 08:43",27.3
"12/07/2025, 08:22",27.3
"12/07/2025, 08:02",27.3
"12/07/2025, 07:42",27.3
"12/07/2025, 07:22",27.3
"12/07/2025, 07:02",27.3
"12/07/2025, 06:42",27.3
"12/07/2025, 06:21",27.3
"12/07/2025, 06:01",27.3
"12/07/2025, 05:41",27.3
"12/07/2025, 05:21",27.4
"12/07/2025, 05:01",27.4
"12/07/2025, 04:41",27.4
"12/07/2025, 04:21",27.4
"12/07/2025, 04:00",27.4
"12/07/2025, 03:40",27.4
"12/07/2025, 03:20",27.4
"12/07/2025, 03:00",27.4
"12/07/2025, 02:40",27.4
"12/07/2025, 02:20",27.4
"12/07/2025, 01:59",27.4
"12/07/2025, 01:39",27.4
"12/07/2025, 01:19",27.4
"12/07/2025, 00:59",27.4
"12/07/2025, 00:39",27.4
"12/07/2025, 00:19",27.4
"11/07/2025, 23:58",27.4
"11/07/2025, 23:38",27.4
"11/07/2025, 23:18",27.4
"11/07/2025, 22:58",27.4
"11/07/2025, 22:38",27.4
"11/07/2025, 22:18",27.4
"11/07/2025, 21:57",27.4
"11/07/2025, 21:37",27.4
"11/07/2025, 21:17",27.4
"11/07/2025, 20:57",27.4
"11/07/2025, 20:37",27.4
"11/07/2025, 20:17",27.4
"11/07/2025, 19:57",27.3
"11/07/2025, 19:36",27.3
"11/07/2025, 19:16",27.3
"11/07/2025, 18:56",27.3
"11/07/2025, 18:36",27.3
"11/07/2025, 18:16",27.3
"11/07/2025, 17:56",27.3
"11/07/2025, 17:35",27.3
"11/07/2025, 17:15",27.2
"11/07/2025, 16:55",27.2
"11/07/2025, 16:35",27.2
"11/07/2025, 16:15",27.2
"11/07/2025, 15:55",27.2
"11/07/2025, 15:34",27.2
"11/07/2025, 15:14",27.1
"11/07/2025, 14:54",27.1
"11/07/2025, 14:34",27.1
"11/07/2025, 14:14",27.1
"11/07/2025, 13:54",27.0
"11/07/2025, 13:33",27.0
"11/07/2025, 13:13",27.0
"11/07/2025, 12:53",26.9
"11/07/2025, 12:33",26.9
"11/07/2025, 12:13",26.9
"11/07/2025, 11:53",26.8
"11/07/2025, 11:33",26.8
"11/07/2025, 11:12",26.8
"11/07/2025, 10:52",26.8
"11/07/2025, 10:32",26.8
"11/07/2025, 10:12",26.7
"11/07/2025, 09:52",26.7
"11/07/2025, 09:32",26.7
"11/07/2025, 09:11",26.7
"11/07/2025, 08:51",26.7
"11/07/2025, 08:31",26.7
"11/07/2025, 08:11",26.7
"11/07/2025, 07:51",26.7
"11/07/2025, 07:31",26.7
"11/07/2025, 07:10",26.7
"11/07/2025, 06:50",26.7
"11/07/2025, 06:30",26.7
"11/07/2025, 06:10",26.7
"11/07/2025, 05:50",26.7
"11/07/2025, 05:30",26.7
"11/07/2025, 05:09",26.7
"11/07/2025, 04:49",26.7
"11/07/2025, 04:29",26.7
"11/07/2025, 04:09",26.7
"11/07/2025, 03:49",26.7
