,pH,Temperature,EC
"21/07/2025, 11:16",9.44,29.0,0.0
"21/07/2025, 10:56",9.44,29.0,0.0
"21/07/2025, 10:36",9.44,28.9,0.0
"21/07/2025, 10:15",9.43,28.9,4.96
"21/07/2025, 09:55",9.43,28.9,0.0
"21/07/2025, 09:35",9.43,28.8,0.0
"21/07/2025, 09:15",9.43,28.7,0.0
"21/07/2025, 08:55",9.43,28.7,0.0
"21/07/2025, 08:35",9.42,28.6,0.0
"21/07/2025, 08:14",9.42,28.6,4.93
"21/07/2025, 07:54",9.43,28.5,0.0
"21/07/2025, 07:34",9.43,28.4,0.0
"21/07/2025, 07:14",9.43,28.4,4.98
"21/07/2025, 06:54",9.42,28.3,0.0
"21/07/2025, 06:34",9.42,28.3,0.0
"21/07/2025, 06:14",9.42,28.3,0.0
"21/07/2025, 05:53",9.42,28.3,0.0
"21/07/2025, 05:33",9.42,28.3,0.0
"21/07/2025, 05:13",9.42,28.3,4.99
"21/07/2025, 04:53",9.42,28.3,0.0
"21/07/2025, 04:33",9.42,28.3,0.0
"21/07/2025, 04:13",9.42,28.4,0.0
"21/07/2025, 03:52",9.42,28.4,4.95
"21/07/2025, 03:32",9.42,28.4,0.0
"21/07/2025, 03:12",9.42,28.4,0.0
"21/07/2025, 02:52",9.42,28.4,0.0
"21/07/2025, 02:32",9.42,28.4,0.0
"21/07/2025, 02:12",9.42,28.5,0.0
"21/07/2025, 01:51",9.42,28.5,0.0
"21/07/2025, 01:31",9.42,28.5,0.0
"21/07/2025, 01:11",9.41,28.6,0.0
"21/07/2025, 00:51",9.41,28.6,0.0
"21/07/2025, 00:31",9.41,28.7,0.0
"21/07/2025, 00:11",9.41,28.7,5.0
"20/07/2025, 23:50",9.41,28.7,0.0
"20/07/2025, 23:30",9.41,28.7,4.97
"20/07/2025, 23:10",9.41,28.7,0.0
"20/07/2025, 22:50",9.42,28.7,0.0
"20/07/2025, 22:30",9.42,28.7,0.0
"20/07/2025, 22:10",9.42,28.7,0.0
"20/07/2025, 21:50",9.42,28.7,0.0
"20/07/2025, 21:29",9.42,28.7,0.0
"20/07/2025, 21:09",9.42,28.7,0.0
"20/07/2025, 20:49",9.42,28.7,0.0
"20/07/2025, 20:29",9.42,28.7,5.0
"20/07/2025, 20:09",9.42,28.8,4.98
"20/07/2025, 19:49",9.42,28.8,0.0
"20/07/2025, 19:28",9.42,28.8,0.0
"20/07/2025, 19:08",9.42,28.8,4.93
"20/07/2025, 18:48",9.42,28.9,0.0
"20/07/2025, 18:28",9.43,28.9,4.84
"20/07/2025, 18:08",9.43,28.9,0.0
"20/07/2025, 17:48",9.42,28.9,0.0
"20/07/2025, 17:27",9.42,28.8,0.0
"20/07/2025, 17:07",9.42,28.8,0.0
"20/07/2025, 16:47",9.42,28.8,5.0
"20/07/2025, 16:27",9.42,28.8,0.0
"20/07/2025, 16:07",9.42,28.7,0.0
"20/07/2025, 15:47",9.42,28.8,0.0
"20/07/2025, 15:26",9.42,28.8,0.0
"20/07/2025, 15:06",9.41,28.8,0.0
"20/07/2025, 14:46",9.41,28.7,0.0
"20/07/2025, 14:26",9.41,28.7,0.0
"20/07/2025, 14:06",9.41,28.7,0.0
"20/07/2025, 13:46",9.41,28.7,0.0
"20/07/2025, 13:26",9.41,28.7,4.99
"20/07/2025, 13:05",9.41,28.8,0.0
"20/07/2025, 12:45",9.41,28.8,0.0
"20/07/2025, 12:25",9.4,28.8,0.0
"20/07/2025, 12:05",9.4,28.8,0.0
"20/07/2025, 11:45",9.4,28.8,0.0
"20/07/2025, 11:25",9.4,28.8,0.0
