,pH,Temperature,EC
"16/07/2025, 08:51",8.28,28.7,1.15
"16/07/2025, 08:34",8.28,28.7,1.15
"16/07/2025, 08:16",8.28,28.7,1.15
"16/07/2025, 07:59",8.28,28.7,1.15
"16/07/2025, 07:42",8.28,28.7,1.15
"16/07/2025, 07:24",8.28,28.7,1.15
"16/07/2025, 07:07",8.28,28.7,1.15
"16/07/2025, 06:50",8.28,28.7,1.15
"16/07/2025, 06:33",8.27,28.7,1.15
"16/07/2025, 06:15",8.27,28.7,1.15
"16/07/2025, 05:58",8.27,28.7,1.15
"16/07/2025, 05:41",8.27,28.8,1.15
"16/07/2025, 05:24",8.27,28.8,1.15
"16/07/2025, 05:06",8.27,28.8,1.15
"16/07/2025, 04:49",8.27,28.8,1.15
"16/07/2025, 04:32",8.26,28.8,1.15
"16/07/2025, 04:14",8.26,28.8,1.15
"16/07/2025, 03:57",8.26,28.8,1.15
"16/07/2025, 03:40",8.26,28.8,1.15
"16/07/2025, 03:23",8.26,28.9,1.15
"16/07/2025, 03:05",8.26,28.9,1.15
"16/07/2025, 02:48",8.26,28.9,1.15
"16/07/2025, 02:31",8.26,28.9,1.15
"16/07/2025, 02:13",8.26,28.9,1.15
"16/07/2025, 01:56",8.26,28.9,1.15
"16/07/2025, 01:39",8.26,28.9,1.15
"16/07/2025, 01:22",8.26,28.9,1.15
"16/07/2025, 01:04",8.26,28.9,1.15
"16/07/2025, 00:47",8.26,28.9,1.15
"16/07/2025, 00:30",8.26,28.9,1.15
"16/07/2025, 00:12",8.26,28.9,1.15
"15/07/2025, 23:55",8.26,29.0,1.15
"15/07/2025, 23:38",8.26,29.0,1.15
"15/07/2025, 23:21",8.26,29.0,1.15
"15/07/2025, 23:03",8.26,29.0,1.15
"15/07/2025, 22:46",8.27,29.0,1.15
"15/07/2025, 22:29",8.26,29.0,1.15
"15/07/2025, 22:12",8.27,29.0,1.15
"15/07/2025, 21:54",8.27,29.0,1.15
